(1.1112948522610704, '67')
(1.116958181594954, '798')
(1.1188275386366868, '2819')
(1.1548423262899894, '619')
(1.157828133866889, '377')
(1.1705898102438537, '89')
(1.1720955754418185, '871')
(1.175093874471866, '366')
(1.1936963149862774, '413')
(1.2000672250657969, '661')
(1.2016091286026616, '419')
(1.2056149003910466, '34')
(1.236795752059959, '12805')
(1.2424075919768247, '396')
(1.2605775349358146, '2747')
(1.2613631951037596, '320')
(1.2847275822377262, '116')
(1.2849471859913237, '846')
(1.2860539597623324, '624')
(1.2929249708423272, '2863')
(1.297773528161867, '420')
(1.3050878997411652, '1096')
(1.3094383946643033, '348')
(1.3173486238676793, '2925')
(1.3274290616101974, '122')
(1.3284262877162039, '1031')
(1.3309895229464004, '279')
(1.3345521772423734, '194')
(1.339197914537608, '22131')
(1.3453285908441743, '674')
(1.3462085088171547, '26346')
(1.357736816655978, '37896')
(1.3586832446629986, '41783')
(1.3590361374704771, '300')
(1.3605573528578407, '48')
(1.3660050299243833, '25666')
(1.368336865866282, '24589')
(1.3694751481183212, '36497')
(1.3803662199755142, '3313')
(1.3884457521946685, '186')
(1.3919823611274935, '41456')
(1.3954042744368014, '52375')
(1.397546986194899, '22027')
(1.3980309293572377, '70888')
(1.3993153785905001, '42778')
(1.39965136507726, '26090')
(1.411589307844435, '37334')
(1.412082869182077, '35106')
(1.4127454354419318, '6845')
(1.412757154506609, '55176')
(1.4170050313859777, '631')
(1.4215882666569173, '27271')
(1.4216448907291714, '33360')
(1.424285695625794, '29331')
(1.4245780549886407, '23392')
(1.4439125865765818, '32138')
(1.4461046725533848, '2535')
(1.4466550421449027, '49828')
(1.452390848937781, '38280')
(1.4542452384360998, '64048')
(1.45556455715072, '53536')
(1.456645874082906, '27443')
(1.4568250650413084, '26209')
(1.456973041902602, '22484')
(1.4592817566241705, '94')
(1.4610909273728405, '27494')
(1.4625394958850124, '37010')
(1.46397237876073, '33774')
(1.4650006171904335, '24953')
(1.4660921345061546, '480')
(1.474773033501463, '358')
(1.4751516753731553, '35766')
(1.4752346017184597, '45082')
(1.476216731924619, '30525')
(1.4764688911169523, '69201')
(1.4784974360979062, '48159')
(1.4785467725317585, '22693')
(1.4790154561059206, '54805')
(1.4790745952603115, '26712')
(1.479102634240646, '2606')
(1.4801441750618474, '31204')
(1.4825227663354599, '38475')
(1.4898295362431326, '6894')
(1.4899936002334975, '13664')
(1.4900553952035542, '30115')
(1.4902512632654448, '24542')
(1.4908829018023544, '31556')
(1.4919427617231436, '30474')
(1.4922944058777357, '37861')
(1.4933566403986118, '14605')
(1.493424228823652, '170')
(1.4935000753652306, '28017')
